Customer_Name,Recency,Frequency,Monetary,Cluster
Zara Brown,1084,1,15.82,1
Zara Chen,625,1,18.5,1
Zara Clark,472,1,155.86,0
Zara Costa,1057,1,1142.37,1
Zara Davis,367,1,22.05,0
Zara Ferrari,939,1,58.41,1
Zara Fischer,422,1,44.69,0
Zara Harris,472,1,314.5,0
Zara Hassan,437,1,13.36,0
Zara Kim,941,1,436.15,1
Zara Leroy,760,1,427.35,1
Zara Miller,237,2,445.73,2
Zara Moreau,819,1,6.83,1
Zara Müller,711,1,148.25,1
Zara Nilsson,764,2,352.59000000000003,2
Zara Oliveira,91,1,308.79,0
Zara Patel,985,1,433.94,1
Zara Rodriguez,939,2,269.25,1
Zara Smith,745,1,11.71,1
Zara Suzuki,65,2,517.37,2
Zara Thomas,450,1,95.53,0
Zara Wang,83,1,25.37,0
Zara Weber,382,1,47.46,0
Zara White,597,2,94.52000000000001,2
Zara Williams,97,2,1158.5,2
